I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: compute02
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: compute02
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: 352.99.0
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:356] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  352.99  Mon Jul  4 23:52:14 PDT 2016
GCC version:  gcc version 4.8.5 20150623 (Red Hat 4.8.5-4) (GCC) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 352.99.0
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:293] kernel version seems to match DSO: 352.99.0
Running with stride 3 and seed 3000
(1, 228, 117660)
47
(181, 117660)
3520
(?, 600)
(?, 100)
started learning...
step 600, training (test) accuracy 0.638298, cost 84.7005
step 600, training (test) accuracy 0.659574, cost 79.3652
step 600, training (test) accuracy 0.680851, cost 75.5322
step 600, training (test) accuracy 0.680851, cost 72.4217
step 625, training (test) accuracy 0.574468, cost 97.3188
step 625, training (test) accuracy 0.574468, cost 98.7069
step 625, training (test) accuracy 0.574468, cost 99.9486
step 625, training (test) accuracy 0.574468, cost 100.628
step 650, training (test) accuracy 0.468085, cost 73.5832
step 650, training (test) accuracy 0.468085, cost 73.8078
step 650, training (test) accuracy 0.468085, cost 73.9398
step 650, training (test) accuracy 0.468085, cost 74.0923
step 675, training (test) accuracy 0.659574, cost 64.7671
step 675, training (test) accuracy 0.659574, cost 65.2073
step 675, training (test) accuracy 0.659574, cost 65.4917
step 675, training (test) accuracy 0.659574, cost 65.8823
step 700, training (test) accuracy 0.510638, cost 94.655
step 700, training (test) accuracy 0.510638, cost 94.4443
step 700, training (test) accuracy 0.531915, cost 94.2997
step 700, training (test) accuracy 0.531915, cost 94.1982
step 725, training (test) accuracy 0.680851, cost 80.3637
step 725, training (test) accuracy 0.680851, cost 80.4564
step 725, training (test) accuracy 0.702128, cost 81.2207
step 725, training (test) accuracy 0.702128, cost 82.1183
step 750, training (test) accuracy 0.574468, cost 73.3872
step 750, training (test) accuracy 0.553191, cost 74.7866
step 750, training (test) accuracy 0.553191, cost 77.367
step 750, training (test) accuracy 0.553191, cost 79.4383
step 775, training (test) accuracy 0.617021, cost 89.6185
step 775, training (test) accuracy 0.617021, cost 89.4585
step 775, training (test) accuracy 0.638298, cost 90.1637
step 775, training (test) accuracy 0.617021, cost 91.2334
step 800, training (test) accuracy 0.574468, cost 87.4084
step 800, training (test) accuracy 0.595745, cost 89.2489
step 800, training (test) accuracy 0.595745, cost 90.677
step 800, training (test) accuracy 0.595745, cost 91.8076
step 825, training (test) accuracy 0.617021, cost 73.4983
step 825, training (test) accuracy 0.617021, cost 72.7614
step 825, training (test) accuracy 0.617021, cost 72.5702
step 825, training (test) accuracy 0.617021, cost 72.6714
step 850, training (test) accuracy 0.531915, cost 91.096
step 850, training (test) accuracy 0.510638, cost 92.1762
step 850, training (test) accuracy 0.489362, cost 94.1844
step 850, training (test) accuracy 0.489362, cost 95.0989
step 875, training (test) accuracy 0.531915, cost 91.4273
step 875, training (test) accuracy 0.574468, cost 90.7037
step 875, training (test) accuracy 0.574468, cost 92.402
step 875, training (test) accuracy 0.574468, cost 91.4525
step 900, training (test) accuracy 0.531915, cost 116.893
step 900, training (test) accuracy 0.531915, cost 109.529
step 900, training (test) accuracy 0.468085, cost 104.547
step 900, training (test) accuracy 0.468085, cost 102.117
step 925, training (test) accuracy 0.595745, cost 75.0744
step 925, training (test) accuracy 0.617021, cost 73.2939
step 925, training (test) accuracy 0.617021, cost 71.1688
step 925, training (test) accuracy 0.553191, cost 72.1921
step 950, training (test) accuracy 0.617021, cost 75.4411
step 950, training (test) accuracy 0.617021, cost 74.713
step 950, training (test) accuracy 0.638298, cost 74.1448
step 950, training (test) accuracy 0.638298, cost 72.909
step 975, training (test) accuracy 0.553191, cost 89.9135
step 975, training (test) accuracy 0.553191, cost 90.5619
step 975, training (test) accuracy 0.553191, cost 91.0828
step 975, training (test) accuracy 0.531915, cost 92.1397
step 1000, training (test) accuracy 0.531915, cost 102.813
step 1000, training (test) accuracy 0.510638, cost 100.613
step 1000, training (test) accuracy 0.510638, cost 97.1448
step 1000, training (test) accuracy 0.510638, cost 93.9077
step 1025, training (test) accuracy 0.553191, cost 134.639
step 1025, training (test) accuracy 0.553191, cost 136.325
step 1025, training (test) accuracy 0.553191, cost 137.287
step 1025, training (test) accuracy 0.553191, cost 137.467
step 1050, training (test) accuracy 0.595745, cost 94.3761
step 1050, training (test) accuracy 0.574468, cost 97.0593
step 1050, training (test) accuracy 0.617021, cost 99.8244
step 1050, training (test) accuracy 0.617021, cost 102.957
step 1075, training (test) accuracy 0.617021, cost 102.682
step 1075, training (test) accuracy 0.617021, cost 102.815
step 1075, training (test) accuracy 0.638298, cost 103.14
step 1075, training (test) accuracy 0.617021, cost 97.0142
step 1100, training (test) accuracy 0.595745, cost 80.9894
step 1100, training (test) accuracy 0.595745, cost 83.145
step 1100, training (test) accuracy 0.574468, cost 85.2413
step 1100, training (test) accuracy 0.574468, cost 87.2476
step 1125, training (test) accuracy 0.489362, cost 88.0967
step 1125, training (test) accuracy 0.510638, cost 87.2443
step 1125, training (test) accuracy 0.510638, cost 86.7416
step 1125, training (test) accuracy 0.489362, cost 84.1875
step 1150, training (test) accuracy 0.702128, cost 79.258
step 1150, training (test) accuracy 0.659574, cost 79.2739
step 1150, training (test) accuracy 0.659574, cost 81.4596
step 1150, training (test) accuracy 0.659574, cost 82.1682
step 1175, training (test) accuracy 0.595745, cost 88.5963
step 1175, training (test) accuracy 0.595745, cost 91.6357
step 1175, training (test) accuracy 0.574468, cost 94.3009
step 1175, training (test) accuracy 0.574468, cost 97.213
step 1200, training (test) accuracy 0.617021, cost 100.153
step 1200, training (test) accuracy 0.617021, cost 98.3765
step 1200, training (test) accuracy 0.595745, cost 97.0396
step 1200, training (test) accuracy 0.595745, cost 92.6843
step 1225, training (test) accuracy 0.595745, cost 84.1138
step 1225, training (test) accuracy 0.595745, cost 83.4798
step 1225, training (test) accuracy 0.574468, cost 82.9715
step 1225, training (test) accuracy 0.574468, cost 82.4833
step 1250, training (test) accuracy 0.617021, cost 105.158
step 1250, training (test) accuracy 0.617021, cost 111.289
step 1250, training (test) accuracy 0.617021, cost 117.855
step 1250, training (test) accuracy 0.595745, cost 124.142
step 1275, training (test) accuracy 0.680851, cost 89.3416
step 1275, training (test) accuracy 0.680851, cost 88.834
step 1275, training (test) accuracy 0.680851, cost 88.1611
step 1275, training (test) accuracy 0.680851, cost 88.0383
step 1300, training (test) accuracy 0.510638, cost 102.886
step 1300, training (test) accuracy 0.510638, cost 101.366
step 1300, training (test) accuracy 0.510638, cost 101.361
step 1300, training (test) accuracy 0.510638, cost 101.389
step 1325, training (test) accuracy 0.489362, cost 139.258
step 1325, training (test) accuracy 0.489362, cost 136.998
step 1325, training (test) accuracy 0.531915, cost 136.633
step 1325, training (test) accuracy 0.531915, cost 136.472
step 1350, training (test) accuracy 0.595745, cost 79.2995
step 1350, training (test) accuracy 0.617021, cost 78.5491
step 1350, training (test) accuracy 0.638298, cost 78.9928
step 1350, training (test) accuracy 0.638298, cost 79.7357
step 1375, training (test) accuracy 0.553191, cost 90.7476
step 1375, training (test) accuracy 0.574468, cost 92.8258
step 1375, training (test) accuracy 0.574468, cost 95.5052
step 1375, training (test) accuracy 0.553191, cost 98.725
step 1400, training (test) accuracy 0.638298, cost 90.8558
step 1400, training (test) accuracy 0.617021, cost 85.5553
step 1400, training (test) accuracy 0.638298, cost 81.5149
step 1400, training (test) accuracy 0.617021, cost 78.1982
step 1425, training (test) accuracy 0.617021, cost 94.3334
step 1425, training (test) accuracy 0.595745, cost 95.4386
step 1425, training (test) accuracy 0.595745, cost 96.5077
step 1425, training (test) accuracy 0.574468, cost 96.1717
step 1450, training (test) accuracy 0.574468, cost 89.4716
step 1450, training (test) accuracy 0.574468, cost 89.366
step 1450, training (test) accuracy 0.595745, cost 89.2871
step 1450, training (test) accuracy 0.595745, cost 89.232
step 1475, training (test) accuracy 0.744681, cost 86.5101
step 1475, training (test) accuracy 0.744681, cost 86.7548
step 1475, training (test) accuracy 0.744681, cost 86.9601
step 1475, training (test) accuracy 0.723404, cost 87.4184
step 1500, training (test) accuracy 0.553191, cost 105.076
step 1500, training (test) accuracy 0.574468, cost 104.708
step 1500, training (test) accuracy 0.595745, cost 104.383
step 1500, training (test) accuracy 0.659574, cost 103.623
step 1525, training (test) accuracy 0.617021, cost 121.988
step 1525, training (test) accuracy 0.617021, cost 120.925
step 1525, training (test) accuracy 0.617021, cost 120.143
step 1525, training (test) accuracy 0.617021, cost 120.058
step 1550, training (test) accuracy 0.617021, cost 87.782
step 1550, training (test) accuracy 0.617021, cost 88.1603
step 1550, training (test) accuracy 0.617021, cost 88.036
step 1550, training (test) accuracy 0.617021, cost 87.421
step 1575, training (test) accuracy 0.617021, cost 110.939
step 1575, training (test) accuracy 0.617021, cost 112.105
step 1575, training (test) accuracy 0.595745, cost 113.154
step 1575, training (test) accuracy 0.595745, cost 114.118
step 1600, training (test) accuracy 0.617021, cost 104.884
step 1600, training (test) accuracy 0.617021, cost 105.8
step 1600, training (test) accuracy 0.617021, cost 103.267
step 1600, training (test) accuracy 0.617021, cost 100.955
step 1625, training (test) accuracy 0.595745, cost 84.4233
step 1625, training (test) accuracy 0.595745, cost 83.1057
step 1625, training (test) accuracy 0.617021, cost 81.9642
step 1625, training (test) accuracy 0.617021, cost 80.9198
step 1650, training (test) accuracy 0.510638, cost 113.039
step 1650, training (test) accuracy 0.510638, cost 111.317
step 1650, training (test) accuracy 0.553191, cost 110.761
step 1650, training (test) accuracy 0.553191, cost 113.06
step 1675, training (test) accuracy 0.659574, cost 108.897
step 1675, training (test) accuracy 0.659574, cost 108.305
step 1675, training (test) accuracy 0.680851, cost 107.902
step 1675, training (test) accuracy 0.680851, cost 107.783
step 1700, training (test) accuracy 0.595745, cost 128.773
step 1700, training (test) accuracy 0.595745, cost 128.564
step 1700, training (test) accuracy 0.574468, cost 128.134
step 1700, training (test) accuracy 0.574468, cost 128.431
step 1725, training (test) accuracy 0.638298, cost 126.704
step 1725, training (test) accuracy 0.659574, cost 125.267
step 1725, training (test) accuracy 0.659574, cost 125.985
step 1725, training (test) accuracy 0.638298, cost 127.387
step 1750, training (test) accuracy 0.659574, cost 94.1539
step 1750, training (test) accuracy 0.659574, cost 92.9669
step 1750, training (test) accuracy 0.638298, cost 91.9322
step 1750, training (test) accuracy 0.617021, cost 91.064
step 1775, training (test) accuracy 0.702128, cost 83.0292
step 1775, training (test) accuracy 0.702128, cost 83.0358
step 1775, training (test) accuracy 0.702128, cost 83.042
step 1775, training (test) accuracy 0.702128, cost 79.0807
step 1800, training (test) accuracy 0.595745, cost 96.5224
step 1800, training (test) accuracy 0.595745, cost 97.4997
step 1800, training (test) accuracy 0.595745, cost 97.8973
step 1800, training (test) accuracy 0.617021, cost 98.2872
step 1825, training (test) accuracy 0.659574, cost 125.497
step 1825, training (test) accuracy 0.638298, cost 123.776
step 1825, training (test) accuracy 0.659574, cost 122.808
step 1825, training (test) accuracy 0.680851, cost 122.843
step 1850, training (test) accuracy 0.617021, cost 128.656
step 1850, training (test) accuracy 0.617021, cost 132.857
step 1850, training (test) accuracy 0.617021, cost 137.081
step 1850, training (test) accuracy 0.617021, cost 140.875
step 1875, training (test) accuracy 0.617021, cost 129.78
step 1875, training (test) accuracy 0.617021, cost 130.216
step 1875, training (test) accuracy 0.617021, cost 130.62
step 1875, training (test) accuracy 0.617021, cost 130.943
step 1900, training (test) accuracy 0.617021, cost 98.2893
step 1900, training (test) accuracy 0.617021, cost 97.5167
step 1900, training (test) accuracy 0.617021, cost 96.8061
step 1900, training (test) accuracy 0.638298, cost 96.0916
step 1925, training (test) accuracy 0.680851, cost 99.8269
step 1925, training (test) accuracy 0.680851, cost 100.138
step 1925, training (test) accuracy 0.702128, cost 101.254
step 1925, training (test) accuracy 0.702128, cost 102.296
step 1950, training (test) accuracy 0.617021, cost 103.617
step 1950, training (test) accuracy 0.617021, cost 104.223
step 1950, training (test) accuracy 0.617021, cost 104.729
step 1950, training (test) accuracy 0.617021, cost 105.188
step 1975, training (test) accuracy 0.680851, cost 104.99
step 1975, training (test) accuracy 0.702128, cost 107.847
step 1975, training (test) accuracy 0.702128, cost 110.258
step 1975, training (test) accuracy 0.680851, cost 111.694
Finished learning...
0.574468
