I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: compute04
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: compute04
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: 352.99.0
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:356] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  352.99  Mon Jul  4 23:52:14 PDT 2016
GCC version:  gcc version 4.8.5 20150623 (Red Hat 4.8.5-4) (GCC) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 352.99.0
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:293] kernel version seems to match DSO: 352.99.0
Running with stride 2 and seed 3000
(1, 228, 117660)
47
(181, 117660)
7872
(?, 600)
(?, 100)
started learning...
step 0, training (test) accuracy 0.0638298, cost 64331.6
step 0, training (test) accuracy 0.212766, cost 43863.6
step 0, training (test) accuracy 0.0851064, cost 32292
step 0, training (test) accuracy 0.0851064, cost 22508
step 25, training (test) accuracy 0.0212766, cost 23.5258
step 25, training (test) accuracy 0.0212766, cost 24.819
step 25, training (test) accuracy 0.0212766, cost 24.8264
step 25, training (test) accuracy 0.0212766, cost 21.7276
step 50, training (test) accuracy 0.212766, cost 3.40083
step 50, training (test) accuracy 0.212766, cost 3.4197
step 50, training (test) accuracy 0.212766, cost 3.36971
step 50, training (test) accuracy 0.212766, cost 3.27974
step 75, training (test) accuracy 0.212766, cost 2.99087
step 75, training (test) accuracy 0.212766, cost 2.99085
step 75, training (test) accuracy 0.212766, cost 2.99083
step 75, training (test) accuracy 0.212766, cost 2.99081
step 100, training (test) accuracy 0.212766, cost 2.98862
step 100, training (test) accuracy 0.212766, cost 2.98859
step 100, training (test) accuracy 0.212766, cost 2.98857
step 100, training (test) accuracy 0.212766, cost 2.98854
step 125, training (test) accuracy 0.212766, cost 2.98633
step 125, training (test) accuracy 0.212766, cost 2.98631
step 125, training (test) accuracy 0.212766, cost 2.98628
step 125, training (test) accuracy 0.212766, cost 2.98626
step 150, training (test) accuracy 0.212766, cost 2.98405
step 150, training (test) accuracy 0.212766, cost 2.98403
step 150, training (test) accuracy 0.212766, cost 2.984
step 150, training (test) accuracy 0.212766, cost 2.98398
step 175, training (test) accuracy 0.212766, cost 2.98173
step 175, training (test) accuracy 0.212766, cost 2.98171
step 175, training (test) accuracy 0.212766, cost 2.98169
step 175, training (test) accuracy 0.212766, cost 2.98167
step 200, training (test) accuracy 0.212766, cost 2.97944
step 200, training (test) accuracy 0.212766, cost 2.97942
step 200, training (test) accuracy 0.212766, cost 2.97939
step 200, training (test) accuracy 0.212766, cost 2.97937
step 225, training (test) accuracy 0.212766, cost 2.97717
step 225, training (test) accuracy 0.212766, cost 2.97715
step 225, training (test) accuracy 0.212766, cost 2.97712
step 225, training (test) accuracy 0.212766, cost 2.9771
step 250, training (test) accuracy 0.212766, cost 2.97492
step 250, training (test) accuracy 0.212766, cost 2.9749
step 250, training (test) accuracy 0.212766, cost 2.97487
step 250, training (test) accuracy 0.212766, cost 2.97485
step 275, training (test) accuracy 0.212766, cost 2.97269
step 275, training (test) accuracy 0.212766, cost 2.97267
step 275, training (test) accuracy 0.212766, cost 2.97264
step 275, training (test) accuracy 0.212766, cost 2.97262
step 300, training (test) accuracy 0.212766, cost 2.97048
step 300, training (test) accuracy 0.212766, cost 2.97045
step 300, training (test) accuracy 0.212766, cost 2.97043
step 300, training (test) accuracy 0.212766, cost 2.97041
step 325, training (test) accuracy 0.212766, cost 2.96829
step 325, training (test) accuracy 0.212766, cost 2.96826
