I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: compute05
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: compute05
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: 352.99.0
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:356] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  352.99  Mon Jul  4 23:52:14 PDT 2016
GCC version:  gcc version 4.8.5 20150623 (Red Hat 4.8.5-4) (GCC) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 352.99.0
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:293] kernel version seems to match DSO: 352.99.0
Running with stride 2 and seed 3000
(1, 228, 117660)
47
(181, 117660)
7872
(?, 600)
(?, 100)
started learning...
step 0, training (test) accuracy 0.0638298, cost 64331.4
step 0, training (test) accuracy 0.212766, cost 43867
step 0, training (test) accuracy 0.0851064, cost 32282.4
step 0, training (test) accuracy 0.0851064, cost 22501.5
step 25, training (test) accuracy 0.0212766, cost 5.24776
step 25, training (test) accuracy 0.0212766, cost 4.92646
step 25, training (test) accuracy 0.0212766, cost 5.65692
step 25, training (test) accuracy 0.0212766, cost 6.40503
step 50, training (test) accuracy 0.212766, cost 2.99302
step 50, training (test) accuracy 0.212766, cost 2.993
step 50, training (test) accuracy 0.212766, cost 2.99298
step 50, training (test) accuracy 0.212766, cost 2.99296
step 75, training (test) accuracy 0.212766, cost 2.99084
step 75, training (test) accuracy 0.212766, cost 2.99081
step 75, training (test) accuracy 0.212766, cost 2.99079
step 75, training (test) accuracy 0.212766, cost 2.99077
step 100, training (test) accuracy 0.212766, cost 2.98859
step 100, training (test) accuracy 0.212766, cost 2.98857
step 100, training (test) accuracy 0.212766, cost 2.98855
step 100, training (test) accuracy 0.212766, cost 2.98852
step 125, training (test) accuracy 0.212766, cost 2.98628
step 125, training (test) accuracy 0.212766, cost 2.98626
step 125, training (test) accuracy 0.212766, cost 2.98624
step 125, training (test) accuracy 0.212766, cost 2.98621
step 150, training (test) accuracy 0.212766, cost 2.98398
step 150, training (test) accuracy 0.212766, cost 2.98396
step 150, training (test) accuracy 0.212766, cost 2.98393
step 150, training (test) accuracy 0.212766, cost 2.98391
step 175, training (test) accuracy 0.212766, cost 2.98167
step 175, training (test) accuracy 0.212766, cost 2.98165
step 175, training (test) accuracy 0.212766, cost 2.98163
step 175, training (test) accuracy 0.212766, cost 2.9816
step 200, training (test) accuracy 0.212766, cost 2.97938
step 200, training (test) accuracy 0.212766, cost 2.97936
step 200, training (test) accuracy 0.212766, cost 2.97934
step 200, training (test) accuracy 0.212766, cost 2.97932
step 225, training (test) accuracy 0.212766, cost 2.97713
step 225, training (test) accuracy 0.212766, cost 2.97711
step 225, training (test) accuracy 0.212766, cost 2.97709
step 225, training (test) accuracy 0.212766, cost 2.97706
step 250, training (test) accuracy 0.212766, cost 2.97488
step 250, training (test) accuracy 0.212766, cost 2.97486
step 250, training (test) accuracy 0.212766, cost 2.97484
step 250, training (test) accuracy 0.212766, cost 2.97482
step 275, training (test) accuracy 0.212766, cost 2.97266
step 275, training (test) accuracy 0.212766, cost 2.97264
step 275, training (test) accuracy 0.212766, cost 2.97261
step 275, training (test) accuracy 0.212766, cost 2.97259
step 300, training (test) accuracy 0.212766, cost 2.97047
step 300, training (test) accuracy 0.212766, cost 2.97044
step 300, training (test) accuracy 0.212766, cost 2.97042
step 300, training (test) accuracy 0.212766, cost 2.9704
step 325, training (test) accuracy 0.212766, cost 2.96829
step 325, training (test) accuracy 0.212766, cost 2.96827
