step 500, training (test) accuracy 0.225, cost 2.93209
step 500, training (test) accuracy 0.225, cost 2.93206
step 525, training (test) accuracy 0.225, cost 2.92914
step 525, training (test) accuracy 0.225, cost 2.92912
step 525, training (test) accuracy 0.225, cost 2.92909
step 525, training (test) accuracy 0.225, cost 2.92906
step 550, training (test) accuracy 0.225, cost 2.92619
step 550, training (test) accuracy 0.225, cost 2.92616
step 550, training (test) accuracy 0.225, cost 2.92613
step 550, training (test) accuracy 0.225, cost 2.9261
step 575, training (test) accuracy 0.225, cost 2.92327
step 575, training (test) accuracy 0.225, cost 2.92324
step 575, training (test) accuracy 0.225, cost 2.92321
step 575, training (test) accuracy 0.225, cost 2.92318
step 600, training (test) accuracy 0.225, cost 2.92039
step 600, training (test) accuracy 0.225, cost 2.92036
step 600, training (test) accuracy 0.225, cost 2.92033
step 600, training (test) accuracy 0.225, cost 2.9203
step 625, training (test) accuracy 0.225, cost 2.91754
step 625, training (test) accuracy 0.225, cost 2.91751
step 625, training (test) accuracy 0.225, cost 2.91749
step 625, training (test) accuracy 0.225, cost 2.91746
step 650, training (test) accuracy 0.225, cost 2.91472
step 650, training (test) accuracy 0.225, cost 2.9147
step 650, training (test) accuracy 0.225, cost 2.91467
step 650, training (test) accuracy 0.225, cost 2.91464
step 675, training (test) accuracy 0.225, cost 2.91194
step 675, training (test) accuracy 0.225, cost 2.91191
step 675, training (test) accuracy 0.225, cost 2.91189
step 675, training (test) accuracy 0.225, cost 2.91186
step 700, training (test) accuracy 0.225, cost 2.9092
step 700, training (test) accuracy 0.225, cost 2.90917
step 700, training (test) accuracy 0.225, cost 2.90915
step 700, training (test) accuracy 0.225, cost 2.90912
step 725, training (test) accuracy 0.225, cost 2.90648
step 725, training (test) accuracy 0.225, cost 2.90646
step 725, training (test) accuracy 0.225, cost 2.90643
step 725, training (test) accuracy 0.225, cost 2.90641
step 750, training (test) accuracy 0.225, cost 2.9038
step 750, training (test) accuracy 0.225, cost 2.90378
step 750, training (test) accuracy 0.225, cost 2.90375
step 750, training (test) accuracy 0.225, cost 2.90372
step 775, training (test) accuracy 0.225, cost 2.90116
step 775, training (test) accuracy 0.225, cost 2.90114
step 775, training (test) accuracy 0.225, cost 2.90111
step 775, training (test) accuracy 0.225, cost 2.90109
step 800, training (test) accuracy 0.225, cost 2.89855
step 800, training (test) accuracy 0.225, cost 2.89853
step 800, training (test) accuracy 0.225, cost 2.8985
step 800, training (test) accuracy 0.225, cost 2.89848
step 825, training (test) accuracy 0.225, cost 2.89597
step 825, training (test) accuracy 0.225, cost 2.89594
step 825, training (test) accuracy 0.225, cost 2.89592
step 825, training (test) accuracy 0.225, cost 2.89589
step 850, training (test) accuracy 0.225, cost 2.89341
step 850, training (test) accuracy 0.225, cost 2.89339
step 850, training (test) accuracy 0.225, cost 2.89337
step 850, training (test) accuracy 0.225, cost 2.89334
step 875, training (test) accuracy 0.225, cost 2.89089
step 875, training (test) accuracy 0.225, cost 2.89087
step 875, training (test) accuracy 0.225, cost 2.89085
step 875, training (test) accuracy 0.225, cost 2.89082
step 900, training (test) accuracy 0.225, cost 2.88841
step 900, training (test) accuracy 0.225, cost 2.88839
step 900, training (test) accuracy 0.225, cost 2.88837
step 900, training (test) accuracy 0.225, cost 2.88834
step 925, training (test) accuracy 0.225, cost 2.88596
step 925, training (test) accuracy 0.225, cost 2.88594
step 925, training (test) accuracy 0.225, cost 2.88592
step 925, training (test) accuracy 0.225, cost 2.88589
step 950, training (test) accuracy 0.225, cost 2.88354
step 950, training (test) accuracy 0.225, cost 2.88352
step 950, training (test) accuracy 0.225, cost 2.8835
step 950, training (test) accuracy 0.225, cost 2.88347
step 975, training (test) accuracy 0.225, cost 2.88115
step 975, training (test) accuracy 0.225, cost 2.88113
step 975, training (test) accuracy 0.225, cost 2.88111
step 975, training (test) accuracy 0.225, cost 2.88108
step 1000, training (test) accuracy 0.225, cost 2.87879
step 1000, training (test) accuracy 0.225, cost 2.87877
step 1000, training (test) accuracy 0.225, cost 2.87874
step 1000, training (test) accuracy 0.225, cost 2.87872
step 1025, training (test) accuracy 0.225, cost 2.87646
step 1025, training (test) accuracy 0.225, cost 2.87644
step 1025, training (test) accuracy 0.225, cost 2.87642
step 1025, training (test) accuracy 0.225, cost 2.87639
step 1050, training (test) accuracy 0.225, cost 2.87416
step 1050, training (test) accuracy 0.225, cost 2.87414
step 1050, training (test) accuracy 0.225, cost 2.87412
step 1050, training (test) accuracy 0.225, cost 2.87409
step 1075, training (test) accuracy 0.225, cost 2.87188
step 1075, training (test) accuracy 0.225, cost 2.87186
step 1075, training (test) accuracy 0.225, cost 2.87184
step 1075, training (test) accuracy 0.225, cost 2.87182
step 1100, training (test) accuracy 0.225, cost 2.86963
step 1100, training (test) accuracy 0.225, cost 2.86961
step 1100, training (test) accuracy 0.225, cost 2.86959
step 1100, training (test) accuracy 0.225, cost 2.86957
step 1125, training (test) accuracy 0.225, cost 2.86742
step 1125, training (test) accuracy 0.225, cost 2.8674
step 1125, training (test) accuracy 0.225, cost 2.86738
step 1125, training (test) accuracy 0.225, cost 2.86736
step 1150, training (test) accuracy 0.225, cost 2.86524
step 1150, training (test) accuracy 0.225, cost 2.86522
step 1150, training (test) accuracy 0.225, cost 2.8652
step 1150, training (test) accuracy 0.225, cost 2.86517
step 1175, training (test) accuracy 0.225, cost 2.86308
step 1175, training (test) accuracy 0.225, cost 2.86306
step 1175, training (test) accuracy 0.225, cost 2.86304
step 1175, training (test) accuracy 0.225, cost 2.86302
step 1200, training (test) accuracy 0.225, cost 2.86094
step 1200, training (test) accuracy 0.225, cost 2.86092
step 1200, training (test) accuracy 0.225, cost 2.8609
step 1200, training (test) accuracy 0.225, cost 2.86088
step 1225, training (test) accuracy 0.225, cost 2.85883
step 1225, training (test) accuracy 0.225, cost 2.85881
step 1225, training (test) accuracy 0.225, cost 2.8588
step 1225, training (test) accuracy 0.225, cost 2.85877
step 1250, training (test) accuracy 0.225, cost 2.85677
step 1250, training (test) accuracy 0.225, cost 2.85675
step 1250, training (test) accuracy 0.225, cost 2.85673
step 1250, training (test) accuracy 0.225, cost 2.85671
step 1275, training (test) accuracy 0.225, cost 2.85472
step 1275, training (test) accuracy 0.225, cost 2.8547
step 1275, training (test) accuracy 0.225, cost 2.85468
step 1275, training (test) accuracy 0.225, cost 2.85466
step 1300, training (test) accuracy 0.225, cost 2.8527
step 1300, training (test) accuracy 0.225, cost 2.85268
step 1300, training (test) accuracy 0.225, cost 2.85267
step 1300, training (test) accuracy 0.225, cost 2.85264
step 1325, training (test) accuracy 0.225, cost 2.85071
step 1325, training (test) accuracy 0.225, cost 2.85069
step 1325, training (test) accuracy 0.225, cost 2.85068
step 1325, training (test) accuracy 0.225, cost 2.85066
step 1350, training (test) accuracy 0.225, cost 2.84875
step 1350, training (test) accuracy 0.225, cost 2.84873
step 1350, training (test) accuracy 0.225, cost 2.84871
step 1350, training (test) accuracy 0.225, cost 2.84869
step 1375, training (test) accuracy 0.225, cost 2.84681
step 1375, training (test) accuracy 0.225, cost 2.84679
step 1375, training (test) accuracy 0.225, cost 2.84677
step 1375, training (test) accuracy 0.225, cost 2.84675
step 1400, training (test) accuracy 0.225, cost 2.84489
step 1400, training (test) accuracy 0.225, cost 2.84487
step 1400, training (test) accuracy 0.225, cost 2.84486
step 1400, training (test) accuracy 0.225, cost 2.84484
step 1425, training (test) accuracy 0.225, cost 2.843
step 1425, training (test) accuracy 0.225, cost 2.84299
step 1425, training (test) accuracy 0.225, cost 2.84297
step 1425, training (test) accuracy 0.225, cost 2.84295
step 1450, training (test) accuracy 0.225, cost 2.84114
step 1450, training (test) accuracy 0.225, cost 2.84112
step 1450, training (test) accuracy 0.225, cost 2.8411
step 1450, training (test) accuracy 0.225, cost 2.84109
step 1475, training (test) accuracy 0.225, cost 2.8393
step 1475, training (test) accuracy 0.225, cost 2.83928
step 1475, training (test) accuracy 0.225, cost 2.83927
step 1475, training (test) accuracy 0.225, cost 2.83925
step 1500, training (test) accuracy 0.225, cost 2.83749
step 1500, training (test) accuracy 0.225, cost 2.83747
step 1500, training (test) accuracy 0.225, cost 2.83745
step 1500, training (test) accuracy 0.225, cost 2.83743
step 1525, training (test) accuracy 0.225, cost 2.83569
step 1525, training (test) accuracy 0.225, cost 2.83568
step 1525, training (test) accuracy 0.225, cost 2.83566
step 1525, training (test) accuracy 0.225, cost 2.83564
